nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,anciennete_compte_jours
Ruiz,Sydney,55.0,168.5,83.1,F,oui,aucun,Normandie,non,oui,1872.0,célibataire,2.0,0.25,560.0,5000.0,506.3094239079885,1332.0
Lewis,Robert,47.0,170.2,49.4,F,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,3926.0,veuf,3.0,0.93,669.0,4362.048,39913.545442220304,1304.0
Levine,Victor,28.0,155.8,82.9,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,1898.0,divorcé,4.0,0.84,409.0,5000.0,500.0,562.0
Henry,Stacy,64.0,165.4,69.6,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2441.0,divorcé,0.0,0.87,505.2,10000.0,500.0,985.0
Oliver,Molly,57.0,176.3,58.6,F,oui,master,Auvergne-Rhône-Alpes,non,non,2078.0,marié,3.0,0.03,520.0,5000.0,500.0,2112.0
Hansen,Tanya,40.0,176.1,68.9,H,oui,doctorat,Bretagne,oui,oui,3134.0,marié,2.0,0.56,347.0,5465.396,24477.586995519163,1919.0
Campos,Todd,30.0,174.4,53.0,F,non,master,Île-de-France,oui,oui,2484.0,divorcé,2.0,0.96,839.0,10000.0,13403.464193304111,876.0
Marquez,Matthew,26.0,168.2,90.0,H,non,doctorat,Île-de-France,oui,oui,3411.0,veuf,1.0,0.65,422.0,5000.0,28468.332550649942,945.0
Ford,Gina,62.0,168.0,84.0,H,oui,aucun,Hauts-de-France,non,oui,3271.0,marié,2.0,0.01,590.8,2667.996,17838.879204168137,1987.0
Callahan,Jesse,54.0,156.4,45.6,H,oui,bac,Normandie,oui,oui,4744.0,marié,5.0,0.9,761.0,3397.6879999999996,15944.351571310635,363.0
Avery,Jose,57.0,172.5,50.8,F,non,master,Hauts-de-France,oui,non,500.0,veuf,1.0,0.6,440.0,5000.0,500.0,1527.0
Hopkins,Tracy,58.0,171.4,75.1,H,non,doctorat,Normandie,oui,non,1784.0,marié,4.0,0.1,602.4,5000.0,500.0,1496.0
Abbott,Adam,74.0,165.2,57.1,F,oui,doctorat,Hauts-de-France,oui,oui,2270.0,marié,4.0,0.92,575.8,1220.4,9981.382567383063,1569.0
Quinn,Thomas,48.0,177.3,83.8,F,oui,bac,Occitanie,non,oui,3577.0,marié,1.0,0.38,620.4,828.86,8908.267124870377,802.0
Carr,George,38.0,174.8,53.2,H,non,bac,Provence-Alpes-Côte d’Azur,non,non,3146.0,célibataire,0.0,0.56,516.4,5000.0,500.0,456.0
Thompson,Nicole,60.0,161.9,69.0,F,non,master,Île-de-France,non,oui,1765.0,marié,5.0,0.1,659.0,5000.0,12869.386140401331,453.0
Mayo,Leah,66.0,170.9,56.2,H,non,bac+2,Hauts-de-France,non,oui,1414.0,marié,5.0,0.42,651.0,197.88,7879.098508780672,1299.0
Ortiz,Bonnie,65.0,183.9,109.5,H,oui,aucun,Corse,non,non,2517.0,marié,3.0,0.54,431.0,5000.0,500.0,1443.0
Martinez,Stephanie,52.0,174.8,67.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,non,2773.0,célibataire,1.0,0.49,527.0,5000.0,500.0,1585.0
Schneider,Jennifer,54.0,157.6,80.2,H,oui,doctorat,Île-de-France,oui,non,3732.0,divorcé,0.0,0.03,755.0,6201.86,10625.676850883963,2238.0
Lloyd,Virginia,50.0,154.3,74.7,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,4034.0,marié,5.0,0.33,511.4,496.66,13979.88369121042,785.0
Murphy,Tony,66.0,174.2,60.1,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,4370.0,marié,5.0,0.32,722.0,10000.0,39913.545442220304,2003.0
Smith,Donna,25.0,178.0,69.9,H,non,master,Île-de-France,non,oui,2679.0,veuf,2.0,0.8,504.0,5000.0,24776.401567375975,603.0
Taylor,Samuel,23.0,177.0,90.9,F,oui,bac+2,Corse,non,oui,1039.0,célibataire,4.0,0.68,607.4,10000.0,5377.4359066227125,908.0
Hays,Michelle,74.0,159.8,32.2,H,non,master,Auvergne-Rhône-Alpes,oui,non,3829.0,célibataire,1.0,0.04,488.4,5311.414,500.0,1624.0
Gomez,William,18.0,179.5,94.5,F,non,doctorat,Corse,non,oui,5645.0,veuf,5.0,0.44,690.0,10000.0,23263.818237942374,724.0
Davenport,Cody,33.0,173.9,69.8,F,oui,bac+2,Occitanie,oui,non,3743.0,célibataire,3.0,0.94,735.0,10000.0,500.0,1849.0
Bean,Ryan,29.0,184.2,69.4,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3562.0,divorcé,5.0,0.1,753.0,3473.1580000000004,25932.37750370768,1709.0
Anderson,Robert,73.0,174.6,65.8,F,oui,aucun,Île-de-France,oui,non,2258.0,veuf,2.0,0.44,483.6,4225.854,500.0,618.0
Solomon,Kirk,65.0,184.2,66.6,H,oui,master,Auvergne-Rhône-Alpes,oui,non,2940.0,marié,2.0,0.84,642.0,10000.0,500.0,1842.0
Fisher,Jessica,53.0,182.8,66.5,H,oui,master,Corse,oui,non,2938.0,marié,1.0,0.13,458.4,5000.0,500.0,1084.0
Russell,Willie,75.0,174.1,67.0,H,oui,doctorat,Bretagne,oui,non,3201.0,marié,4.0,0.9,706.0,10000.0,10974.19548310474,443.0
Mercado,Lawrence,54.0,168.8,55.2,H,non,bac,Normandie,oui,non,1984.0,célibataire,1.0,0.97,422.6,8084.697999999999,500.0,1856.0
Garcia,Susan,61.0,170.9,49.8,F,oui,bac+2,Corse,non,oui,2842.0,célibataire,4.0,0.37,624.0,10000.0,14628.460631927765,1536.0
Mora,Elizabeth,66.0,177.0,55.3,F,non,master,Île-de-France,oui,oui,2310.0,marié,3.0,0.44,682.0,5253.35,13526.643330258712,306.0
Young,Robert,43.0,169.3,85.4,F,oui,master,Occitanie,non,oui,3289.0,veuf,2.0,0.85,448.0,582.39,22364.985659357644,517.0
Stone,Guy,36.0,159.1,76.5,F,non,aucun,Île-de-France,oui,non,3055.0,marié,2.0,0.54,686.0,4176.726000000001,500.0,1457.0
Kerr,Taylor,31.0,175.0,72.9,F,oui,doctorat,Corse,non,oui,2729.0,marié,3.0,0.4,419.0,5084.264,20714.46594528287,750.0
Williams,Tabitha,59.0,171.7,91.6,F,non,master,Bretagne,oui,non,2490.0,célibataire,2.0,0.23,608.6,798.15,500.0,1182.0
Padilla,Kenneth,62.0,158.5,63.6,F,oui,aucun,Occitanie,non,non,2434.0,veuf,4.0,0.95,473.0,5000.0,500.0,1469.0
Mason,William,74.0,153.2,70.6,H,oui,bac,Île-de-France,oui,oui,2760.0,veuf,3.0,0.77,581.8,5000.0,17089.72304557635,1962.0
Fitzgerald,Justin,72.0,170.8,54.5,F,non,doctorat,Bretagne,non,oui,3276.0,divorcé,1.0,0.5,527.6,5273.788,34796.85400708748,2157.0
Smith,Wyatt,39.0,187.5,82.8,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2193.0,veuf,4.0,0.95,827.0,1866.0639999999999,28162.834906399592,335.0
Martin,Joanna,31.0,159.1,68.5,F,oui,doctorat,Île-de-France,oui,non,3060.0,divorcé,3.0,0.11,739.0,5000.0,8243.367217368506,1515.0
Brown,Rachel,30.0,154.2,85.8,F,oui,aucun,Normandie,oui,oui,2997.0,marié,3.0,0.87,805.0,3536.1639999999998,500.0,325.0
Jones,Molly,32.0,175.1,75.4,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1167.0,veuf,3.0,0.38,349.0,719.08,3328.8424402473306,1933.0
Mclaughlin,Kelli,40.0,175.5,55.7,H,oui,aucun,Occitanie,non,oui,2200.0,célibataire,0.0,0.47,557.2,5260.368,17015.694884436813,1260.0
Reynolds,Emily,32.0,175.7,68.3,F,non,bac+2,Corse,non,oui,1731.0,marié,3.0,0.29,754.0,7083.544,2333.869952457323,1210.0
Curry,Sierra,52.0,170.2,60.8,F,non,bac,Corse,oui,oui,2812.0,divorcé,3.0,0.25,648.0,10000.0,500.0,2002.0
Schroeder,Rebecca,22.0,182.1,83.0,H,non,aucun,Occitanie,oui,oui,2232.0,divorcé,2.0,0.62,569.0,4362.872,500.0,1145.0
Lowe,Billy,66.0,184.0,68.0,H,non,bac,Occitanie,oui,oui,1526.0,marié,3.0,0.08,407.0,5000.0,9095.58278338632,497.0
Spence,Emily,52.0,161.1,73.1,H,non,bac,Bretagne,non,oui,2329.0,veuf,3.0,0.42,643.8,6229.226000000001,16155.906746309356,1039.0
Francis,Rachel,25.0,169.7,47.7,F,oui,aucun,Hauts-de-France,non,oui,3733.0,marié,2.0,0.34,422.0,5351.326,5149.728824917103,1789.0
Davis,Eric,71.0,168.8,70.6,F,non,doctorat,Bretagne,non,non,500.0,divorcé,5.0,0.38,436.8,5000.0,500.0,2003.0
Wagner,Jack,46.0,182.4,45.2,F,non,bac+2,Normandie,oui,non,500.0,célibataire,5.0,0.26,539.2,548.06,500.0,1065.0
Wolfe,Andre,70.0,180.2,74.5,F,non,aucun,Corse,non,non,3329.0,marié,0.0,0.72,612.0,10000.0,500.0,2013.0
Moore,Emily,51.0,183.9,59.8,F,non,bac+2,Corse,non,non,4806.0,divorcé,4.0,0.2,593.4,5000.0,500.0,393.0
Oliver,Carolyn,50.0,180.2,68.1,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,500.0,divorcé,1.0,0.62,456.0,5000.0,500.0,2163.0
Collins,Jenna,47.0,165.7,68.6,F,non,doctorat,Normandie,oui,oui,1181.0,divorcé,4.0,0.05,624.4,5000.0,500.0,2115.0
Ramirez,Victoria,28.0,161.1,57.2,H,oui,master,Bretagne,non,oui,3401.0,célibataire,4.0,0.71,465.0,10000.0,32916.89585109401,1978.0
Gomez,Mitchell,21.0,172.9,81.7,H,non,aucun,Corse,non,non,3338.0,marié,1.0,0.21,490.0,10000.0,500.0,751.0
Morris,Julia,42.0,165.3,75.5,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1997.0,marié,3.0,0.76,755.0,991.69,500.0,640.0
Barry,Sharon,31.0,174.0,67.8,F,non,master,Occitanie,oui,non,1410.0,célibataire,4.0,0.68,560.2,5242.4,500.0,445.0
Stafford,Deborah,57.0,169.5,88.3,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,2371.0,marié,4.0,0.69,825.0,543.26,23746.996472920477,1219.0
Hughes,Rachel,51.0,164.0,74.9,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,500.0,célibataire,3.0,0.24,513.0,10000.0,500.0,1353.0
Porter,Jamie,19.0,153.1,64.9,H,oui,doctorat,Corse,oui,non,2564.0,marié,4.0,0.03,566.6,663.52,500.0,1278.0
Ford,Mark,59.0,174.7,46.4,F,non,doctorat,Normandie,oui,oui,3198.0,marié,3.0,0.89,667.4,388.41,15028.581820523268,641.0
King,Timothy,49.0,166.0,78.1,H,non,bac+2,Corse,non,non,2306.0,célibataire,0.0,0.64,551.6,5436.668,500.0,1702.0
Campbell,James,35.0,160.5,84.9,H,oui,aucun,Hauts-de-France,non,oui,3234.0,divorcé,4.0,0.52,563.6,5489.206,8600.648893706006,1718.0
Sandoval,Ashley,21.0,153.6,88.1,H,oui,doctorat,Île-de-France,oui,non,3070.0,marié,2.0,0.58,791.0,5000.0,9825.729814473463,1194.0
Ford,Travis,30.0,174.0,83.7,H,oui,master,Occitanie,non,oui,500.0,marié,0.0,0.1,492.4,10000.0,17036.680201676703,2132.0
Sweeney,Kenneth,72.0,174.6,51.2,F,oui,aucun,Normandie,oui,non,2655.0,marié,1.0,0.09,321.0,10000.0,500.0,822.0
Fields,Tina,44.0,168.3,68.2,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3123.0,marié,1.0,0.65,806.0,5000.0,20396.247744681383,1296.0
Randolph,Deborah,65.0,174.8,89.5,F,oui,master,Corse,oui,oui,1058.0,marié,2.0,0.46,576.0,1287.43,500.0,1436.0
Armstrong,Tara,50.0,177.8,62.8,H,oui,aucun,Île-de-France,oui,non,1137.0,marié,3.0,0.52,648.0,2501.21,500.0,2068.0
Edwards,Willie,62.0,181.9,91.8,F,non,aucun,Auvergne-Rhône-Alpes,non,non,3155.0,marié,2.0,0.32,486.2,10000.0,500.0,1593.0
Shaffer,Heidi,36.0,174.1,52.1,H,non,aucun,Occitanie,non,non,785.0,divorcé,1.0,0.33,324.0,5262.062,500.0,2043.0
Paul,Ronald,20.0,182.3,107.4,H,oui,master,Normandie,oui,non,2613.0,célibataire,2.0,0.25,658.0,10000.0,500.0,1601.0
Williamson,Shannon,50.0,176.4,71.4,H,non,bac,Auvergne-Rhône-Alpes,non,oui,2430.0,veuf,3.0,0.05,646.0,9000.0,2179.9540644179174,1668.0
Dean,Harold,40.0,169.9,62.5,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,1975.0,veuf,3.0,0.97,566.2,10000.0,500.0,582.0
Wright,Gary,26.0,169.2,61.9,H,non,bac,Corse,oui,oui,3535.0,veuf,2.0,0.88,649.0,5000.0,500.0,1131.0
Carroll,Christopher,30.0,189.6,77.7,F,oui,master,Hauts-de-France,non,oui,3202.0,marié,4.0,0.37,647.4,10000.0,23124.572672263635,1504.0
Velez,Karen,70.0,179.2,70.3,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,3067.0,divorcé,2.0,0.33,690.0,5377.006,500.0,861.0
Reid,Shane,74.0,160.1,90.7,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,4583.0,marié,1.0,0.45,500.4,789.54,7300.042929230574,1343.0
Ruiz,Christy,36.0,176.1,75.6,F,non,doctorat,Auvergne-Rhône-Alpes,non,non,2251.0,célibataire,3.0,0.58,585.6,410.51,500.0,645.0
Jimenez,Amanda,23.0,176.5,38.1,H,non,bac,Bretagne,non,non,3998.0,marié,2.0,0.63,713.0,418.79,500.0,2028.0
Ross,Paul,25.0,169.1,67.3,F,non,bac,Normandie,oui,oui,4143.0,marié,3.0,0.71,680.2,5000.0,4492.145732725343,1225.0
Bowen,Amy,71.0,177.6,68.0,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,1881.0,célibataire,3.0,0.72,502.6,847.92,500.0,1929.0
Montoya,Zachary,52.0,176.5,29.049999999999997,F,non,bac,Occitanie,non,oui,1851.0,marié,1.0,0.97,548.4,5000.0,500.0,832.0
Carr,Michael,60.0,156.9,99.6,F,non,aucun,Occitanie,oui,oui,1449.0,veuf,3.0,0.43,515.2,10000.0,500.0,1721.0
Adkins,Pamela,21.0,151.5,94.9,F,non,bac+2,Île-de-France,oui,oui,1223.0,divorcé,1.0,0.2,615.6,868.62,500.0,2175.0
Rodriguez,Logan,67.0,178.2,74.6,F,oui,aucun,Corse,non,non,2916.0,divorcé,2.0,0.48,540.0,10000.0,500.0,830.0
Carter,Amy,64.0,161.8,66.6,F,non,aucun,Hauts-de-France,oui,non,2811.0,divorcé,3.0,0.37,444.0,5000.0,500.0,401.0
Evans,Clinton,71.0,160.8,105.5,F,non,master,Auvergne-Rhône-Alpes,non,oui,4947.0,célibataire,1.0,0.0,775.6,5366.982,25151.281467326688,711.0
Bradley,Andrew,52.0,167.8,88.1,H,non,doctorat,Corse,oui,oui,2937.0,veuf,3.0,0.3,724.6,10000.0,7911.083974614097,1304.0
Smith,Amanda,70.0,168.0,75.2,F,non,doctorat,Occitanie,non,oui,2670.0,veuf,3.0,0.98,801.0,5000.0,36896.60980019855,752.0
Jones,Rebecca,43.0,161.6,78.2,F,oui,doctorat,Occitanie,non,non,2189.0,veuf,2.0,0.85,552.0,5000.0,1998.9243449274347,2161.0
Phillips,Cynthia,39.0,180.4,59.6,F,oui,master,Hauts-de-France,oui,non,2903.0,marié,1.0,0.25,807.0,1055.61,500.0,1920.0
Gonzalez,Charles,69.0,161.8,50.0,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2470.0,divorcé,1.0,0.78,464.0,5000.0,10783.05855056268,841.0
Kidd,James,31.0,174.3,86.1,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,2021.0,marié,1.0,0.47,574.0,4112.142,500.0,2012.0
Woodward,Jeffrey,47.0,184.3,77.1,H,non,doctorat,Normandie,non,non,4857.0,marié,3.0,0.19,488.8,5000.0,12507.864081330485,1656.0
Walton,Brooke,37.0,153.2,70.8,F,oui,bac+2,Occitanie,non,oui,500.0,marié,3.0,0.69,400.0,3384.416,12534.086087338055,752.0
Blackwell,Chelsea,31.0,168.0,59.6,F,oui,doctorat,Hauts-de-France,oui,oui,3466.0,marié,3.0,0.57,519.0,5000.0,17023.97520924748,2187.0
Payne,Teresa,56.0,171.3,73.3,F,oui,bac,Occitanie,non,non,3906.0,marié,3.0,0.36,606.6,4420.694,2813.500497804289,2088.0
Snyder,Joshua,27.0,171.3,89.1,F,non,bac+2,Normandie,non,oui,500.0,veuf,3.0,0.05,548.2,2488.1220000000003,7650.239810585742,1248.0
Lynn,Elizabeth,44.0,162.8,89.8,H,non,doctorat,Normandie,oui,oui,2481.0,divorcé,5.0,0.99,579.0,5000.0,14225.3372344427,2013.0
Allen,Michael,26.0,166.9,42.8,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,942.0,veuf,3.0,0.35,579.6,5000.0,500.0,1538.0
Boyd,Justin,50.0,168.5,55.5,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,1559.0,marié,3.0,0.84,567.0,5000.0,500.0,485.0
Nichols,Laura,74.0,178.9,91.9,H,non,bac+2,Bretagne,non,oui,1767.0,veuf,2.0,0.44,629.8,992.53,15635.971719797486,2129.0
Fields,Ashley,70.0,149.7,70.0,H,oui,master,Île-de-France,oui,oui,3425.0,célibataire,3.0,0.8,686.0,5000.0,18764.585626528544,2060.0
Todd,Aaron,31.0,192.3,59.7,H,oui,bac,Hauts-de-France,non,oui,943.0,marié,2.0,0.47,360.0,10000.0,5572.693231935993,1352.0
Holmes,Samuel,47.0,167.9,65.2,H,non,aucun,Île-de-France,non,oui,1358.0,divorcé,2.0,0.49,305.0,10000.0,4586.889041982074,1014.0
Padilla,Robert,19.0,174.5,61.6,H,non,aucun,Bretagne,non,non,2779.0,divorcé,3.0,0.09,411.0,10000.0,500.0,2205.0
Payne,Gregory,73.0,176.6,50.6,H,oui,aucun,Île-de-France,non,oui,1621.0,divorcé,3.0,0.76,385.0,5353.0,16177.121288527109,502.0
Brock,Kimberly,38.0,153.6,68.7,F,oui,bac+2,Corse,oui,oui,1195.0,veuf,3.0,0.14,833.0,10000.0,500.0,1039.0
Bryant,Andrea,46.0,182.0,69.3,F,non,doctorat,Hauts-de-France,oui,oui,3333.0,célibataire,4.0,0.19,573.6,10000.0,8943.350242989567,2022.0
Ferguson,Daniel,26.0,142.79999999999995,66.3,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2796.0,marié,4.0,0.54,600.2,5000.0,12787.499641856708,1391.0
Rivers,Jonathan,70.0,149.0,41.7,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,3871.0,divorcé,3.0,0.19,651.6,1703.6240000000003,500.0,2046.0
Brown,Bruce,32.0,178.4,51.8,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3159.0,divorcé,0.0,0.2,554.4,1050.15,500.0,1546.0
Peck,Joseph,75.0,153.8,60.0,H,non,bac,Occitanie,oui,oui,1641.0,veuf,4.0,0.74,572.8,713.54,500.0,1499.0
Cox,Katie,25.0,158.5,68.9,F,non,bac+2,Bretagne,non,oui,500.0,marié,0.0,0.14,331.0,6251.352,3602.0572172903267,2155.0
Holland,Michael,54.0,155.4,66.7,H,non,master,Bretagne,non,non,3175.0,marié,2.0,0.5,360.0,9000.0,580.3723833248425,1338.0
Johnson,David,71.0,173.4,65.9,H,non,bac,Bretagne,oui,oui,2425.0,veuf,3.0,0.99,381.0,5000.0,4133.895360615895,1996.0
Krause,Stacy,29.0,163.6,54.0,F,non,aucun,Occitanie,non,oui,3212.0,divorcé,5.0,0.61,504.2,5000.0,2371.972611770464,1272.0
Anderson,Daniel,35.0,154.1,45.9,F,oui,master,Auvergne-Rhône-Alpes,oui,non,2022.0,veuf,4.0,0.3,556.6,1070.67,500.0,2147.0
Wiley,Kristen,44.0,181.2,82.9,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,2308.0,veuf,3.0,0.3,596.2,6209.39,16957.3941868435,854.0
Mckee,Kristy,61.0,174.8,111.05,H,non,aucun,Île-de-France,non,oui,2613.0,marié,0.0,0.34,670.0,5000.0,7438.027916673134,1498.0
Morse,Nicole,68.0,176.0,76.4,F,oui,doctorat,Hauts-de-France,non,oui,5345.0,marié,1.0,0.63,363.0,7089.002,28168.06385337335,2120.0
Martin,Bryan,29.0,154.5,47.3,F,oui,aucun,Bretagne,non,oui,500.0,divorcé,4.0,0.06,577.0,10000.0,12046.205178867209,2058.0
Morrow,Steven,56.0,180.6,59.4,H,oui,aucun,Hauts-de-France,non,non,1776.0,marié,1.0,0.43,624.0,5000.0,500.0,420.0
Yu,Matthew,31.0,161.5,57.3,H,non,bac+2,Corse,non,oui,3453.0,marié,2.0,0.93,533.8,10000.0,14069.071759640394,2170.0
Hayes,Brenda,29.0,196.3,60.1,H,oui,doctorat,Normandie,non,non,4510.0,marié,5.0,0.34,584.0,5000.0,14476.711366790529,544.0
Garza,Sean,64.0,186.3,89.4,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,3432.0,veuf,1.0,0.48,511.4,6256.49,28433.956479824978,1128.0
Henry,Tonya,55.0,154.4,60.4,H,oui,bac,Bretagne,oui,non,3050.0,divorcé,3.0,0.15,652.0,6155.88,500.0,1051.0
Ayers,Cathy,44.0,177.5,65.4,F,non,bac+2,Occitanie,oui,non,2651.0,marié,3.0,0.94,836.0,5205.15,500.0,1241.0
Turner,Teresa,24.0,181.0,86.5,H,oui,bac+2,Hauts-de-France,oui,oui,2142.0,marié,3.0,0.04,544.4,5000.0,500.0,1094.0
Hill,Glen,60.0,165.5,79.3,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,4102.0,célibataire,1.0,0.83,723.8,5379.987999999999,39913.545442220304,2190.0
Murray,Joseph,71.0,197.20000000000005,73.6,H,non,aucun,Provence-Alpes-Côte d’Azur,non,non,2161.0,marié,3.0,0.06,472.6,421.1,500.0,385.0
Jackson,Willie,33.0,167.9,84.0,H,oui,doctorat,Bretagne,oui,oui,2061.0,divorcé,3.0,0.78,483.4,6094.616,18751.338613719585,1814.0
Harrison,Michael,22.0,182.0,69.3,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,1809.0,divorcé,3.0,0.79,520.8,5227.4,1846.089316631996,2185.0
Bullock,Austin,43.0,161.4,64.6,F,oui,bac+2,Normandie,non,oui,3974.0,marié,4.0,0.96,303.0,7183.710000000001,23670.749573317436,988.0
Mclaughlin,Arthur,25.0,185.9,47.5,F,non,bac+2,Corse,oui,non,1245.0,marié,4.0,0.53,600.2,4177.164,500.0,714.0
Scott,Jennifer,18.0,176.6,58.0,F,oui,aucun,Île-de-France,oui,non,1285.0,célibataire,3.0,0.72,667.0,5000.0,500.0,689.0
Nguyen,Michael,73.0,179.1,57.6,H,oui,aucun,Hauts-de-France,oui,oui,3991.0,divorcé,1.0,0.11,494.6,10000.0,500.0,1773.0
Torres,Timothy,70.0,170.2,57.5,H,non,bac,Occitanie,non,non,1061.0,marié,2.0,0.03,608.4,846.98,500.0,1319.0
Benson,Richard,45.0,168.7,84.5,F,oui,bac,Normandie,oui,oui,3686.0,marié,2.0,0.87,390.0,566.08,7549.507251288014,696.0
Schmidt,Michael,70.0,159.0,61.8,F,non,master,Occitanie,oui,oui,3650.0,célibataire,3.0,0.94,617.0,5000.0,12762.371866272675,856.0
Johnson,Donald,59.0,162.0,41.0,F,oui,aucun,Bretagne,oui,oui,2768.0,célibataire,5.0,0.65,671.6,3469.5,6847.684831678455,1939.0
Young,Jean,58.0,175.5,65.6,F,oui,bac,Hauts-de-France,oui,oui,1326.0,célibataire,5.0,0.53,568.6,7034.586,500.0,2024.0
Alvarado,Matthew,23.0,162.5,55.5,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,1237.0,veuf,2.0,0.16,744.0,3282.756,8128.129620552187,2259.0
Lynch,Ashley,63.0,166.4,98.1,F,oui,bac,Occitanie,non,oui,1173.0,célibataire,4.0,0.68,428.0,6115.755999999999,3681.123044139684,1362.0
Long,Nathan,50.0,194.4,65.0,H,oui,doctorat,Corse,oui,oui,2571.0,célibataire,2.0,0.42,620.0,5000.0,15089.998384791275,905.0
Sparks,Natalie,60.0,178.8,62.8,H,oui,bac+2,Occitanie,non,oui,2583.0,célibataire,2.0,0.86,516.0,421.32,20579.7385473986,645.0
Flowers,Johnny,69.0,166.1,61.0,F,non,doctorat,Île-de-France,oui,oui,3935.0,marié,1.0,0.2,516.2,10000.0,28400.018228752502,1235.0
Anderson,William,66.0,184.8,72.2,H,oui,bac+2,Île-de-France,non,non,1272.0,marié,1.0,0.04,555.4,6185.394,500.0,1953.0
Thomas,Steven,19.0,163.7,71.0,F,oui,bac,Hauts-de-France,non,oui,2320.0,célibataire,5.0,0.73,498.0,5000.0,13337.63621486146,1068.0
Becker,Shawn,25.0,174.2,48.3,F,oui,bac+2,Bretagne,non,oui,500.0,marié,4.0,0.26,562.0,10000.0,12483.11135845582,1007.0
Burke,Michelle,42.0,170.6,73.7,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2521.0,marié,4.0,0.92,638.8,10000.0,27258.509415783898,562.0
Young,Diane,51.0,169.7,86.7,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,565.0,marié,4.0,0.85,468.0,734.92,500.0,1565.0
Smith,Thomas,39.0,169.2,73.8,H,non,bac,Auvergne-Rhône-Alpes,non,non,626.0,célibataire,3.0,0.39,655.0,770.38,500.0,292.0
Romero,Jeffrey,41.0,197.20000000000005,49.5,F,oui,master,Normandie,oui,non,3646.0,divorcé,1.0,0.36,567.8,543.18,500.0,1664.0
Lane,Wendy,18.0,156.7,62.7,F,oui,doctorat,Hauts-de-France,oui,non,869.0,veuf,3.0,0.77,484.0,1053.52,500.0,646.0
Morton,William,68.0,172.0,69.2,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,3370.0,veuf,3.0,0.83,844.0,4451.456,26325.54973326867,1406.0
Curtis,James,54.0,165.2,56.3,H,non,bac+2,Hauts-de-France,oui,oui,1974.0,marié,4.0,0.94,590.2,10000.0,9046.498896998608,2111.0
Hunter,Tina,38.0,163.9,93.4,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,2656.0,célibataire,3.0,0.31,530.2,7247.5199999999995,500.0,416.0
Clark,Ryan,58.0,156.4,86.3,F,oui,bac,Île-de-France,non,oui,3330.0,marié,5.0,0.4,669.8,10000.0,24341.106940732916,1060.0
Ryan,Stephen,42.0,153.6,43.8,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,1121.0,veuf,2.0,0.82,501.8,3287.568,1198.40278870796,418.0
Smith,Diane,21.0,167.6,68.8,F,oui,doctorat,Corse,non,non,3155.0,célibataire,2.0,0.76,510.0,5000.0,500.0,1667.0
Duke,Kristi,26.0,151.7,45.0,H,non,aucun,Auvergne-Rhône-Alpes,oui,non,3151.0,marié,5.0,0.29,363.0,5000.0,500.0,389.0
Wilkerson,Emily,49.0,177.1,93.5,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1930.0,célibataire,1.0,0.52,597.2,10000.0,7347.346017845576,635.0
Reed,Luke,56.0,167.4,69.1,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4354.0,veuf,2.0,0.55,619.0,3210.952,500.0,1982.0
